"","X","title","doi","pdf"
"122",129,"Enhancing diagnostic accuracy in liver transplant rejection: The role of imaging and clinical data.","10.1016/j.dld.2025.06.025","10.1016_j.dld.2025.06.025"
"123",130,"Construction and validation of a perioperative blood transfusion model for patients undergoing total hip arthroplasty with osteonecrosis of the femoral head based on machine learning.","10.3389/fmed.2025.1471746","10.3389_fmed.2025.1471746"
"124",132,"The predictive value comparison of the different nutritional assessment tools for postoperative delirium in elderly patients after non-cardiac surgery.","10.3389/fnut.2025.1673973","10.3389_fnut.2025.1673973"
"125",133,"Construction of diagnostic model and identification of key genes of bipolar disorder based on GA-KPLS.","10.1016/j.jad.2025.120197","10.1016_j.jad.2025.120197"
"126",134,"Platinum free interval and clinical benefit of the second-line chemotherapy in recurrent uterine and ovarian carcinosarcoma: a retrospective cohort analysis.","10.3802/jgo.2025.36.e64","10.3802_jgo.2025.36.e64"
"127",135,"Diagnostic performance of Alzheimer's disease blood and CSF biomarkers in a Brazilian cohort with low educational attainment.","10.1038/s41380-025-03192-w","10.1038_s41380-025-03192-w"
"128",136,"Comparative Study of Molecular Descriptors and AI-Based Embeddings for Toxicity Prediction.","10.1021/acs.chemrestox.5c00289","10.1021_acs.chemrestox.5c00289"
"129",137,"Muscle Quality Assessed by the Phase Angle Can Predict Renal Prognosis in Patients with Chronic Kidney Disease.","10.3390/jcm14165664","10.3390_jcm14165664"
"130",138,"Analysis of Delirium Risk Assessment Tools for Prediction of Postoperative Delirium Following Lumbar Spinal Fusion.","10.1097/BRS.0000000000005271","10.1097_BRS.0000000000005271"
"131",139,"Dual-task deep learning model for prediction of medulloblastoma molecular subgroups with preoperative brain MRI.","10.1007/s11547-025-02105-9","10.1007_s11547-025-02105-9"
"132",140,"Noninvasive Prediction of Programmed Cell Death Protein-Ligand 1 Expression in Locally Advanced Non-small Cell Lung Cancer by 18F-Fluorodeoxyglucose Positron Emission Tomography/Computed Tomography-Based Metabolic Habitats: A Multicenter Radiomic and Biological Study.","10.1245/s10434-025-18139-2","10.1245_s10434-025-18139-2"
"133",141,"Prediction of mortality in heart failure by machine learning. Comparison with statistical modeling.","10.1016/j.ejim.2025.01.020","10.1016_j.ejim.2025.01.020"
"134",142,"Does a modified metabolic syndrome definition improve prediction of cardiovascular events and mortality? findings from a 17-year cohort study.","10.1186/s41043-025-01083-y","10.1186_s41043-025-01083-y"
"135",143,"MemScreen: A smartphone application for detection of mild cognitive impairment: A validation study: Smartphone App for MCI Detection.","10.1016/j.tjpad.2025.100077","10.1016_j.tjpad.2025.100077"
"136",145,"Development and validation of deep learning model for detection of obstructive coronary artery disease in patients with acute chest pain: a multi-center study.","10.1007/s11547-025-02064-1","10.1007_s11547-025-02064-1"
"137",146,"A generative adversarial optimization strategy for predicting counterfactual trajectories of grey matter atrophy.","10.1016/j.cmpb.2025.109095","10.1016_j.cmpb.2025.109095"
"138",147,"Ultrasound hepatorenal index for the diagnosis of steatosis in patients with type 2 diabetes: a prospective validation study.","10.1007/s00330-025-11774-z","10.1007_s00330-025-11774-z"
"139",148,"Ultrasonographic assessment of thenar muscles for diagnosing sarcopenic obesity in patients with schizophrenia.","10.3389/fpsyt.2025.1698379","10.3389_fpsyt.2025.1698379"
"140",149,"The added value of artificial intelligence using Quantib Prostate for the detection of prostate cancer at multiparametric magnetic resonance imaging.","10.1007/s11547-025-02017-8","10.1007_s11547-025-02017-8"
"141",150,"Forecasting framework for dominant SARS-CoV-2 strains before clade replacement using phylogeny-informed genetic distances.","10.3389/fmicb.2025.1619546","10.3389_fmicb.2025.1619546"
"142",151,"Polygenic score from MODY genes is associated with type 1 diabetes and disease characteristics.","10.1007/s00592-025-02544-w","10.1007_s00592-025-02544-w"
"143",152,"Vision transformer-based multimodal fusion network for classification of tumor malignancy on breast ultrasound: A retrospective multicenter study.","10.1016/j.ijmedinf.2025.105793","10.1016_j.ijmedinf.2025.105793"
"144",153,"A virtual knee replacement (vKR) multi-component endpoint for knee osteoarthritis based on patient-reported PROs: Data from the Osteoarthritis Initiative.","10.1016/j.joca.2025.08.001","10.1016_j.joca.2025.08.001"
"145",154,"NT-proBNP to guide risk stratification after cardiac rehabilitation in patients with ST-segment elevation myocardial infarction.","10.1016/j.ejim.2025.04.027","10.1016_j.ejim.2025.04.027"
"146",155,"Analysis of risk factors and construction of a predictive model for contralateral occult carcinoma in patients with unilateral papillary thyroid carcinoma.","10.3389/fendo.2025.1532840","10.3389_fendo.2025.1532840"
"147",156,"Predicting early hematoma enlargement in spontaneous intracerebral hemorrhage: Hypocalcemia, Hyperglycemia, and CT signs.","10.1016/j.jstrokecerebrovasdis.2025.108433","10.1016_j.jstrokecerebrovasdis.2025.108433"
"148",157,"Predicting sentinel lymph node metastasis in breast cancer: a study based on the SEER database.","10.1007/s10238-025-01591-5","10.1007_s10238-025-01591-5"
"149",158,"Deep learning for the prediction of acute kidney injury after coronary angiography and intervention in patients with chronic kidney disease: a model development and validation study.","10.1080/0886022X.2025.2474206","10.1080_0886022X.2025.2474206"
"150",159,"The two cut-offs approach for plasma p-tau217 in detecting Alzheimer's disease in subjective cognitive decline and mild cognitive impairment.","10.1002/dad2.70116","10.1002_dad2.70116"
"151",161,"A machine learning-based nomogram for predicting graft survival in allograft kidney transplant recipients: a 20-year follow-up study.","10.3389/fmed.2025.1556374","10.3389_fmed.2025.1556374"
"152",162,"The role of mitochondrial DNA copy number in spent culture medium in predicting outcomes of single blastocyst transfer.","10.1007/s10815-025-03507-4","10.1007_s10815-025-03507-4"
"153",163,"A novel prognostic signature integrating disulfidptosis- and ferroptosis-related genes in acute myeloid leukemia.","10.1007/s10238-025-01670-7","10.1007_s10238-025-01670-7"
"154",165,"Adiponectin and HMW Oligomers in Relation to Inflammatory Markers in Crohn's Disease Patients.","10.3390/biomedicines13020273","10.3390_biomedicines13020273"
"155",166,"Development and validation of a severity-focused score for the assessment of lateral epicondylitis using enhanced magnetic resonance imaging.","10.1016/j.jse.2025.01.052","10.1016_j.jse.2025.01.052"
